车架号,厂家代码,公司代码,调拨日期,位置,详细位置,发动机号,颜色,车型,配置,价格,出厂日期,入库日期,来源,点款,加装,GMAC,其他记录,绑定订单,
LSGKB5415KV391224,SGM7132LBA1,7132CK19,2019/12/20 10:12,店内,门口,191974885,闪电白,科鲁泽,科鲁泽 RS 330T自动 畅快版(GB6) 19,114900,2019/7/17 0:00,2019/8/5 16:55,厂家到车,TRUE,,,,,
LSGKB5413LV031158,SGM7132LBA1,7132TK20,2019/12/10 15:59,网点,温江爱车居,192534288,闪电白,科鲁泽,科鲁泽 RS 330T自动 痛快版 20,119900,2019/9/20 0:00,2019/10/16 14:27,厂家到车,TRUE,,,,,
LSGKB5412LV031054,SGM7132LBA1,7132TK20,2019/12/12 10:48,网点,华阳远大籍田,192534578,闪电白,科鲁泽,科鲁泽 RS 330T自动 痛快版 20,119900,2019/9/20 0:00,2019/10/16 14:30,厂家到车,TRUE,,,,夏轩颐:(暂定),
LSGKB5419LV045792,SGM7132LBA1,7132TK20,2019/11/15 10:08,网点,崇州长远,192844085,闪电白,科鲁泽,科鲁泽 RS 330T自动 痛快版 20,119900,2019/10/16 0:00,2019/11/14 16:50,厂家到车,TRUE,,,,,
LSGKB5416LV030232,SGM7132LBA1,7132TK20,2019/12/11 14:36,网点,大邑金明,192524999,星夜蓝,科鲁泽,科鲁泽 RS 330T自动 痛快版 20,119900,2019/9/19 0:00,2019/10/18 13:17,厂家到车,TRUE,,,,,
LSGKB5415LV033624,SGM7132LBA1,7132TK20,2019/10/18 13:19,库房,3号库,192574623,星夜蓝,科鲁泽,科鲁泽 RS 330T自动 痛快版 20,119900,2019/9/24 0:00,2019/10/18 13:19,厂家到车,TRUE,,,,,
LSGKB5417LV031843,SGM7132LBA1,7132TK20,2019/10/18 13:19,库房,3号库,192554071,珍珠黑,科鲁泽,科鲁泽 RS 330T自动 痛快版 20,119900,2019/9/21 0:00,2019/10/18 13:19,厂家到车,TRUE,,,,,
LSGKB5417LV031910,SGM7132LBA1,7132TK20,2019/10/18 13:14,库房,3号库,192534853,珍珠黑,科鲁泽,科鲁泽 RS 330T自动 痛快版 20,119900,2019/9/21 0:00,2019/10/18 13:14,厂家到车,TRUE,,,,,
LSGZG5395KS078327,SGM7136EBA2,7136RD19,2019/7/22 15:12,库房,3号库,191442105,墨玉黑,迈锐宝XL,全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19,164900,2019/6/17 0:00,2019/7/22 15:12,厂家到车,TRUE,,,,,
LSGZG5395KS078196,SGM7136EBA2,7136RD19,2019/11/27 10:14,库房,3号库,191442098,墨玉黑,迈锐宝XL,全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19,164900,2019/6/17 0:00,2019/7/23 16:34,厂家到车,TRUE,,,,,
LSGZG5394KS078335,SGM7136EBA2,7136RD19,2019/12/2 10:52,库房,3号库,191442099,墨玉黑,迈锐宝XL,全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19,164900,2019/6/17 0:00,2019/7/23 16:34,厂家到车,TRUE,,,,,
LSGZG5390KS082835,SGM7136EBA2,7136RD19,2019/12/10 11:01,店内,展厅,191612438,墨玉黑,迈锐宝XL,全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19,164900,2019/6/24 0:00,2019/10/31 17:05,厂家到车,FALSE,,,,,
LSGZG5396KS107592,SGM7136EBA2,7136RD19,2019/11/22 9:46,网点,内江晨隆,192712488,闪电白,迈锐宝XL,全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19,164900,2019/10/24 0:00,2019/11/14 16:51,厂家到车,TRUE,,,,,
LSGZG5394KS107400,SGM7136EBA2,7136RD19,2019/12/15 10:27,店内,门口,192712436,闪电白,迈锐宝XL,全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19,164900,2019/10/24 0:00,2019/11/18 9:47,厂家到车,TRUE,,,,范世平:吴晓龙,
LSGZG5396KS088428,SGM7136EBA1,7136RX19,2019/9/12 9:17,库房,3号库,191174006,星夜蓝,迈锐宝XL,全新迈锐宝XL 535T 锐行版(Leather)(S-SRF) 19,154900,2019/8/21 0:00,2019/9/12 9:17,厂家到车,TRUE,,,,,
LSGZG53LXKS112581,SGM7206EBA1,7206RD19,2019/12/16 15:03,库房,3号库,193120681,黯影灰,迈锐宝XL,全新迈锐宝XL 550T 锐动版(B-SRF)(18)(redline) 19,194900,2019/11/17 0:00,2019/12/16 15:03,厂家到车,FALSE,,,,,
LSGZG53L6KS112576,SGM7206EBA1,7206RD19,2019/12/16 15:04,库房,3号库,193120714,黯影灰,迈锐宝XL,全新迈锐宝XL 550T 锐动版(B-SRF)(18)(redline) 19,194900,2019/11/17 0:00,2019/12/16 15:04,厂家到车,FALSE,,,,,
LSGZG53L2KS086302,SGM7206EBA1,7206RD19,2019/9/2 16:30,库房,3号库,192190867,闪电白,迈锐宝XL,全新迈锐宝XL 550T 锐动版(B-SRF)(18)(redline) 19,194900,2019/8/12 0:00,2019/9/2 16:30,厂家到车,TRUE,,,,,
LSGZG53L2KS112042,SGM7206EBA1,7206RD19,2019/12/16 15:03,库房,3号库,193120737,闪电白,迈锐宝XL,全新迈锐宝XL 550T 锐动版(B-SRF)(18)(redline) 19,194900,2019/11/15 0:00,2019/12/16 15:03,厂家到车,FALSE,,,,,
LSGZG53L7KS089812,SGM7206EBA1,7206RL19,2019/9/17 17:16,库房,3号库,192310001,黯影灰,迈锐宝XL,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19,204900,2019/8/27 0:00,2019/9/17 17:16,厂家到车,TRUE,,,,,
LSGZG53L1KS088963,SGM7206EBA1,7206RL19,2019/9/23 11:23,库房,3号库,192330516,风尚红,迈锐宝XL,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19,204900,2019/8/23 0:00,2019/9/23 11:23,厂家到车,TRUE,,,,,
LSGZG53L6KS062617,SGM7206EBA1,7206RL19,2019/9/15 9:52,店内,展厅,191280237,晶灰,迈锐宝XL,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19,204900,2019/5/13 0:00,2019/6/11 15:46,厂家到车,TRUE,,,,,
LSGZG53L2KS065451,SGM7206EBA1,7206RL19,2019/12/19 16:13,车展,车展,191360699,晶灰,迈锐宝XL,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19,204900,2019/5/20 0:00,2019/6/17 9:06,厂家到车,TRUE,,,,,
LSGZG53L5KS065489,SGM7206EBA1,7206RL19,2019/11/21 11:04,库房,3号库,191360150,闪电白,迈锐宝XL,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19,204900,2019/5/21 0:00,2019/6/21 16:40,厂家到车,TRUE,,,轮毂轻微掉漆,,
LSGZG53L6KS066070,SGM7206EBA1,7206RL19,2019/6/20 16:42,库房,3号库,191410256,闪电白,迈锐宝XL,全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19,204900,2019/5/22 0:00,2019/6/20 16:42,厂家到车,TRUE,,,,,
